dimension,dimension_cn,count,mean,std,min,p10,median,p90,max
topic_public_value_score,主题公共价值,9540,0.6946855345911949,0.10399071495702965,0.4125,0.5375000000000001,0.6833333333333335,0.8374999999999999,0.9625
semantic_clarity_score,语义清晰度,9540,0.5522683563560759,0.2088995198153381,0.0208333333333333,0.1922648514851485,0.6024030528052804,0.7861798679867986,1.0
data_richness_score,数据丰富度,9540,0.37984102381575235,0.17685631661605036,0.0332779677030699,0.1603659448890028,0.36104910812258084,0.6308532043010912,1.0
machine_readability_score,机器可读性,9540,0.7260010482180292,0.28763438022345705,0.0999999999999999,0.42,0.8300000000000001,1.0,1.0
timeliness_score,时效性,9540,0.5483814640111809,0.21336567711241702,0.1625,0.3116790880503145,0.5029669811320755,0.9201729559748428,0.9977987421383648
spatiotemporal_capability_score,时空能力,9540,0.6643527253668763,0.19689074966562833,0.23,0.285,0.7749999999999999,0.975,0.985
combinability_score,可组合性,9540,0.6052498478652327,0.1373833679769889,0.0926041470552555,0.4530751181314588,0.614488513097487,0.7955902133774775,0.9694597554411084
