metric,PotentialUse_CRITIC_percentile,PotentialUse_equal_percentile,PotentialUse_entropy_percentile,ActualUse_type_percentile,DormantScore_rule
PotentialUse_CRITIC_percentile,1.0,0.9039268312953836,0.8649968129375665,0.12671689646364417,0.6420781439274473
PotentialUse_equal_percentile,0.9039268312953836,1.0,0.9477606419761171,0.11619057697434255,0.5744562217804604
PotentialUse_entropy_percentile,0.8649968129375665,0.9477606419761171,1.0,0.018430110916502297,0.6250867157376035
ActualUse_type_percentile,0.12671689646364417,0.11619057697434255,0.018430110916502297,1.0,-0.6423071486920413
DormantScore_rule,0.6420781439274473,0.5744562217804604,0.6250867157376035,-0.6423071486920413,1.0
