amplitude,iteration,spearman_with_base,top10_overlap_rate,top30_overlap_rate,w_topic_public_value_score,w_semantic_clarity_score,w_data_richness_score,w_machine_readability_score,w_timeliness_score,w_spatiotemporal_capability_score,w_combinability_score
0.1,1,0.9983034236134368,0.9716981132075472,0.9720475192173306,0.07477582198896794,0.1471803052852559,0.13642279188791148,0.24753244483411502,0.16716821565241452,0.14678461692758715,0.0801358034237481
0.1,2,0.9985928517169989,0.980083857442348,0.9720475192173306,0.07553438828213778,0.16439411536986498,0.12328000393373904,0.2543611905536064,0.15308545935328283,0.1479083191019476,0.08143652340542153
0.1,3,0.9996815505073904,0.9884696016771488,0.9849755415793152,0.0727283347004598,0.16886621103154356,0.13243471530070344,0.25047537135642145,0.15676542124592738,0.14477635783918733,0.07395358852575695
0.1,4,0.9982852671468219,0.9832285115303984,0.972396925227114,0.07171524435442286,0.17601791397311037,0.13474291327334328,0.2397436272196111,0.1611621690917279,0.13888045891914616,0.07773767316863826
0.1,5,0.9965625361977326,0.980083857442348,0.960167714884696,0.08138909202185429,0.1559822034091173,0.12258511166124322,0.25989909120917776,0.15179761387693697,0.14925733579038075,0.07908955203128984
0.1,6,0.9986073174797971,0.9853249475890985,0.9790356394129979,0.0788121693843544,0.15385510874571862,0.11647738042995964,0.2526026541742712,0.16340470209611574,0.15018284801783324,0.08466513715174726
0.1,7,0.9980768566799675,0.9779874213836478,0.9685534591194969,0.07050006080941137,0.1638881150094645,0.11983088533848153,0.2534650350367487,0.1507072572879663,0.15155651777161808,0.09005212874630958
0.1,8,0.9967403050659898,0.9821802935010482,0.9643605870020965,0.0797927364532583,0.16574625459730388,0.11495531031026796,0.2289385404563502,0.1705926968346078,0.1546507297369602,0.08532373161125163
0.1,9,0.9990212787047448,0.9811320754716981,0.9832285115303984,0.06973897879841039,0.15881003340772487,0.11951116522486203,0.2426420673443835,0.1654262259745506,0.15477327807703717,0.08909825117303155
0.1,10,0.9955344948497513,0.980083857442348,0.9552760307477288,0.07440443282080479,0.17241630665633426,0.14055941612387024,0.23044687175434894,0.15615297290329003,0.13283514366795246,0.09318485607339916
0.1,11,0.9996871871101172,0.9926624737945493,0.9884696016771488,0.07545420812201395,0.15978774978401244,0.12389088043429096,0.2520265735115105,0.16105052788944899,0.13948693082330274,0.08830312943542053
0.1,12,0.9977396480883143,0.9811320754716981,0.9720475192173306,0.08159457035964239,0.15935138571341229,0.11913322100507703,0.2340111766879599,0.1722345385375345,0.14726615975672816,0.08640894793964576
0.1,13,0.9982620418121522,0.980083857442348,0.9706498951781971,0.07853459872917713,0.17134305454072316,0.13233766518029935,0.2549251765740183,0.15276366863054586,0.12630290033640781,0.08379293600882835
0.1,14,0.9938214177811034,0.9758909853249476,0.9482879105520615,0.07814925329436206,0.17722018527359312,0.11651532881508878,0.22209099853442243,0.16923332240157118,0.14474100961593614,0.09204990206502625
0.1,15,0.9994928776035715,0.9916142557651991,0.9856743535988819,0.08177462181253244,0.16145649999785372,0.1238041024758728,0.23919627711803482,0.16208020544369212,0.14069515808797495,0.09099313506403915
