数据集ID,数据资源名称,数据领域,数据资源类型,开放属性,PotentialUse_CRITIC,PotentialUse_CRITIC_percentile,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,ActualUse_type_percentile,DormantScore_rule,rule_dormant_candidate
1392,杨浦区生态环境管理夜间施工管理信息,资源环境,数据接口,无条件开放,0.8822126604004323,1.0,0.8041666666666666,0.7037747524752475,0.6582740296013495,1.0,0.9977987421383647,0.9749999999999999,0.9112551633673841,0.9656224572823434,0.034377542717656584,0
14424,闵行区吴泾镇集体资产资源经营台账,资源环境,数据接口,无条件开放,0.8795499852554253,0.9998951672083027,0.8458333333333333,0.7703382838283828,0.5676592217001014,1.0,0.9652987421383648,0.9749999999999999,0.9112551633673841,0.3623881204231082,0.6375070467851945,1
9848,徐汇区财政局_行政许可,社会发展,数据接口,无条件开放,0.8795219221862125,0.9997903344166055,0.6875,0.7687499999999999,0.6613322877020611,1.0,0.9652987421383648,0.9749999999999999,0.914752824406189,0.8299430431244914,0.16984729129211407,0
9824,徐汇区民防办日常检查,公共安全,数据接口,有条件开放,0.8757913116743506,0.9996855016249083,0.8416666666666667,0.7382838283828382,0.6182803590555873,1.0,0.9399842767295596,0.9749999999999999,0.905310256037321,0.8431651749389748,0.15652032668593352,0
11703,户外招牌设施监督检查信息,城市建设,数据接口,无条件开放,0.8707631265281673,0.9995806688332111,0.8458333333333333,0.8291666666666666,0.6041061409812863,1.0,0.8088836477987422,0.9849999999999999,0.920900828051611,0.44467046379170055,0.5549102050415105,1
985,杨浦区民政综合为老服务管理养老服务组织信息,民生服务,数据接口,无条件开放,0.8694117911910789,0.9994758360415138,0.8791666666666665,0.7731641914191418,0.7309165543821193,1.0,0.9652987421383648,0.7749999999999999,0.8465881154805203,0.9574857607811229,0.04199007526039089,0
14422,闵行区华漕镇微信扩展信息,民生服务,数据接口,无条件开放,0.8664093757421318,0.9993710032498165,0.7958333333333333,0.6432755775577559,0.6456996994348295,1.0,0.9652987421383648,0.9749999999999999,0.9297079017470387,0.3703213995117982,0.6290496037380183,1
13842,闵行区公租房项目介绍,民生服务,数据接口,无条件开放,0.8600123568380881,0.9992661704581193,0.8374999999999999,0.6474422442244223,0.5634040663651574,1.0,0.9652987421383648,0.9749999999999999,0.9318866411398863,0.7709519934906428,0.22831417696747647,0
1120,上海企事业单位环境信息公开污染源基本信息,资源环境,数据接口,无条件开放,0.8553400080076372,0.999161337666422,0.6791666666666666,0.5491336633663366,0.7819276001510419,1.0,0.9201729559748427,0.9849999999999999,0.9506781612206859,0.9056143205858421,0.09354701708057989,0
O1928138402025007,闵行区江川路街道跑冒滴漏车容车貌案件信息,民生服务,数据接口,无条件开放,0.846442176365397,0.9990565048747249,0.8791666666666665,0.790470297029703,0.7598916715798978,1.0,0.5752987421383647,0.9749999999999999,0.9086038139375977,0.38588283157038245,0.6131736733043425,1
14050,闵行区环卫车辆基本信息,资源环境,数据接口,有条件开放,0.8449316815644894,0.9989516720830276,0.6791666666666666,0.6113242574257426,0.5943630236230752,1.0,0.9652987421383648,0.9749999999999999,0.9179524354786481,0.43378763222131816,0.5651640398617095,1
13838,闵行区社区环卫记录表,资源环境,数据接口,无条件开放,0.8447309481894204,0.9988468392913303,0.7208333333333333,0.5981848184818482,0.5705467115992918,1.0,0.9652987421383648,0.9749999999999999,0.9395224803515259,0.7392188771358829,0.2596279621554475,0
13862,闵行区道路公厕小压缩站信息,城市建设,数据接口,无条件开放,0.8445095402143628,0.9987420064996331,0.8041666666666666,0.7002268976897689,0.4129594394267181,1.0,0.9652987421383648,0.9749999999999999,0.9007503977060424,0.4192432872253865,0.5794987192742466,1
1117,上海市建设项目环评信息公开事中事后公开,资源环境,数据接口,无条件开放,0.8439843383243084,0.9986371737079358,0.7208333333333333,0.6260932343234324,0.773658669444174,0.91,0.9553930817610062,0.9849999999999999,0.8390256592043531,0.9613506916192026,0.0372864820887332,0
1381,杨浦区生态环境管理建设项目信息,城市建设,数据接口,无条件开放,0.8428935607723019,0.9985323409162385,0.7625,0.6683374587458746,0.7416604953830963,1.0,0.9652987421383648,0.7749999999999999,0.8236345953963119,0.9664361269324654,0.03209621398377316,0
13003,闵行区组织生活用户信息,民生服务,数据接口,无条件开放,0.8413737517510871,0.9984275081245414,0.7958333333333333,0.6120668316831683,0.4894961594642772,1.0,0.9652987421383648,0.9749999999999999,0.927395003847516,0.7395240032546786,0.2589035048698628,0
