row_no,dataset_id,retry_reason,old_status,old_missing_core,new_status,new_missing_core,action,duration_seconds,error
660,O2813838802025159,first4000_missing_core:record_count,success,record_count,success,,upsert,6.4,
661,O2813839372025002,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
662,O2813839372025003,first4000_missing_core:field_names,success,field_names,success,,upsert,6.9,
663,O2813840012025003,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
664,O2813840012025007,first4000_missing_core:record_count,success,record_count,success,,upsert,6.42,
665,O2813840012025006,first4000_missing_core:record_count,success,record_count,success,,upsert,6.4,
666,O2813840012025009,first4000_missing_core:record_count,success,record_count,success,,upsert,6.41,
667,O2813839372025001,first4000_missing_core:field_names,success,field_names,success,,upsert,7.1,
668,O2813839372025004,first4000_missing_core:field_names,success,field_names,success,,upsert,7.01,
669,O2813839372025005,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
670,O2813839372025007,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
671,O2813839372025006,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
672,O2813839372025008,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
673,O2813839372025009,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
674,O2813842482025007,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
675,O2813842482025001,first4000_missing_core:field_names,success,field_names,success,,upsert,7.1,
676,O2813842482025005,first4000_missing_core:field_names,success,field_names,success,,upsert,6.93,
677,O2813838802025154,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
678,O2813838802025147,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
679,O2813838802025139,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
680,O2813838802025143,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
681,O2813838802025138,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
682,O2813838802025137,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
683,O2813838802025136,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
684,O8568747352025001,first4000_missing_core:record_count,success,record_count,success,,upsert,6.39,
685,O2813840292025013,first4000_missing_core:field_names,success,field_names,success,,upsert,6.93,
686,O2813840292025009,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
687,O2813840292025008,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
688,O2813840292025006,first4000_missing_core:field_names,success,field_names,success,,upsert,6.91,
689,O2813840292025005,first4000_missing_core:field_names,success,field_names,success,,upsert,6.44,
690,O2813840292025003,first4000_missing_core:field_names,success,field_names,success,,upsert,6.92,
691,O2813840292025001,first4000_missing_core:field_names,success,field_names,success,,upsert,6.92,
692,O2813838802025131,"first4000_missing_core:record_count,field_names",success,"record_count,field_names",success,,upsert,6.88,
693,O2813838802025130,first4000_missing_core:field_names,success,field_names,success,,upsert,6.93,
694,O2813838802025128,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
695,O2813838802025127,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
696,O2813838802025126,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
697,O2813838802025125,first4000_missing_core:field_names,success,field_names,success,,upsert,6.92,
698,O2813838802025124,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
699,O2813838802025123,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
700,O2813838802025122,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
701,O4468089072025002,first4000_missing_core:field_names,success,field_names,success,,upsert,6.82,
702,O4468089072025001,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
703,O2813838802025120,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
704,O2813838802025121,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
705,O2813838802025119,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
706,O2813838802025117,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
707,O2813838802025116,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
708,O2813838802025115,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
709,O2813838802025114,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
710,O2813838802025112,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
711,O2813838802025111,first4000_missing_core:field_names,success,field_names,success,,upsert,6.92,
712,O2813838802025110,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
713,O2813838802025109,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
714,O2813838802025108,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
715,O2813838802025107,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
716,O2813838802025106,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
717,O2813838802025105,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
718,O2813838802025104,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
719,O2813838802025088,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
720,O2813838442025185,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
721,O2813838442025186,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
722,O2813838802025080,first4000_missing_core:field_names,success,field_names,success,,upsert,6.9,
723,O2813838802025067,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
724,O2813838802025102,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
725,O2813838802025101,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
726,O2813838802025100,first4000_missing_core:field_names,success,field_names,success,,upsert,6.91,
727,O2813838802025099,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
728,O2813838802025098,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
729,O2813838802025097,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
730,O2813838802025096,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
731,O2813838802025095,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
732,O2813838802025094,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
733,O2813838802025093,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
734,O2813838802025091,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
735,O2813838802025090,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
736,O2813838802025089,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
737,O2813838802025087,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
738,O2813838802025086,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
739,O2813838802025085,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
740,O2813840012025002,first4000_missing_core:field_names,success,field_names,success,,upsert,6.84,
741,O2813840012025001,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
742,O2813838802025084,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
743,O2813838802025082,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
744,O2813838802025081,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
745,O2813838802025079,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
746,O2813838802025078,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
747,O2813838802025077,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
748,O2813838802025076,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
749,O2813838802025075,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
750,O2813838802025074,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
751,O2813838802025073,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
752,O2813838802025071,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
753,O2813838802025070,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
754,O2813838802025069,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
755,O2813838802025068,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
756,O2813838802025066,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
757,O2813838802025064,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
758,O2813838802025063,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
759,O2813838802025062,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
760,O2813838802025061,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
761,O2813838802025060,first4000_missing_core:field_names,success,field_names,success,,upsert,6.93,
762,O2813838802025059,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
763,O2813838442025085,"first4000_missing_core:download_formats,field_names",success,"download_formats,field_names",success,"download_formats,field_names",upsert,24.5,
764,O2813838802025035,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
765,O2813838802025032,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
766,O2813838802025058,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
767,O2813838802025057,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
768,O2813838802025056,first4000_missing_core:field_names,success,field_names,success,,upsert,6.96,
769,O2813838802025055,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
770,O2813838802025054,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
771,O2813838802025053,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
772,O2813838802025052,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
773,O2813838802025050,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
774,O2813838802025049,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
775,O2813838802025048,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
776,O2813838442025095,first4000_missing_core:field_names,success,field_names,success,,upsert,6.92,
777,O2813838442025092,first4000_missing_core:field_names,success,field_names,success,,upsert,6.92,
778,O2813838442025088,first4000_missing_core:field_names,success,field_names,success,,upsert,6.95,
779,O2813838442025082,first4000_missing_core:field_names,success,field_names,success,,upsert,6.92,
780,O2813838442025079,first4000_missing_core:field_names,success,field_names,success,,upsert,6.92,
781,O2813838442025075,first4000_missing_core:field_names,success,field_names,success,,upsert,6.91,
782,O2813838442025070,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
783,O2813838442025067,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
784,O2813838442025063,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
785,O2813838442025061,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
786,O2813838442025057,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
787,O2813838442025043,first4000_missing_core:field_names,success,field_names,success,,upsert,6.92,
788,O2813838442025037,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
789,O2813838802025047,first4000_missing_core:field_names,success,field_names,success,,upsert,6.9,
790,O2813838802025046,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
791,O2813838802025045,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
792,O2813838802025044,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
793,O2813838802025043,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
794,O2813838802025042,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
795,O2813838802025041,first4000_missing_core:field_names,success,field_names,success,,upsert,6.92,
796,O2813838802025040,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
797,O2813838802025039,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
798,O2813838802025038,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
799,O2813838802025037,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
800,O2813838802025036,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
801,O2813838802025034,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
802,O2813838802025027,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
803,O2813838802025024,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
804,O2813838802025023,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
805,O2813838802025022,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
806,O2813838802025021,first4000_missing_core:field_names,success,field_names,success,,upsert,6.83,
807,O2813838802025017,first4000_missing_core:field_names,success,field_names,success,,upsert,6.9,
808,O2813838802025016,first4000_missing_core:field_names,success,field_names,success,,upsert,6.91,
809,O2813838802025015,first4000_missing_core:field_names,success,field_names,success,,upsert,6.9,
810,O2813838802025014,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
811,O2813838802025013,first4000_missing_core:field_names,success,field_names,success,,upsert,6.92,
812,O2813838802025012,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
813,O2813838802025011,first4000_missing_core:field_names,success,field_names,success,,upsert,6.91,
814,O2813838802025010,first4000_missing_core:field_names,success,field_names,success,,upsert,6.93,
815,O2813838802025009,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
816,O2813838802025008,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
817,O2813838802025007,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
818,O2813838802025006,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
819,O2813838802025004,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
820,O2813838802025003,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
821,O2813838802025002,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
822,O2813838802025001,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
823,O1928138392025733,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
824,O1928138392025732,first4000_missing_core:field_names,success,field_names,success,,upsert,6.41,
825,O1928138392025731,first4000_missing_core:field_names,success,field_names,success,,upsert,6.42,
826,O1928138402025218,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
827,O1928138402025219,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
828,O1928138402025220,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
829,O1928138402025221,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
830,O1928138402025222,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
831,O1928138402025223,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
832,O1928138402025224,first4000_missing_core:field_names,success,field_names,success,,upsert,6.92,
833,O1928138402025225,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
834,O1928138402025226,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
835,O1928138402025227,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
836,O1928138402025228,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
837,O1928138402025229,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
838,O1928138402025230,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
839,O1928138402025231,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
840,O1928138402025232,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
841,O1928138402025233,first4000_missing_core:field_names,success,field_names,success,,upsert,6.9,
842,O1928138402025234,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
843,O1928138402025235,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
844,O1928138402025236,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
845,O1928138402025237,first4000_missing_core:field_names,success,field_names,success,,upsert,6.91,
846,O1928138402025238,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
847,O1928138402025239,first4000_missing_core:field_names,success,field_names,success,,upsert,6.9,
848,O1928138402025240,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
849,O1928138402025241,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
850,O1928138382025997,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
851,O5485687442025020,first4000_missing_core:field_names,success,field_names,success,,upsert,6.99,
852,O1928138392025697,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
853,O1928138392025729,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
854,O1928138392025730,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
855,O5485687442025019,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
856,O1928138392025728,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
857,O1928138392025727,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
858,O1928138392025726,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
859,O1928138392025723,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
860,O1928138392025724,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
861,O1928138392025722,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
862,O1928138392025721,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
863,O1928138392025720,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
864,O1928138392025719,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
865,O1928138392025718,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
866,O1928138392025717,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
867,O1928138392025716,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
868,O1928138392025715,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
869,O1928138392025714,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
870,O1928138392025713,first4000_missing_core:field_names,success,field_names,success,,upsert,6.94,
871,O1928138392025711,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
872,O1928138392025710,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
873,O1928138392025709,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
874,O1928138392025708,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
875,O1928138392025707,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
876,O1928138392025706,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
877,O1928138392025705,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
878,O1928138382025990,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
879,O1928138392025703,first4000_missing_core:field_names,success,field_names,success,,upsert,6.9,
880,O1928138392025704,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
881,O1928138382025989,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
882,O1928138392025702,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
883,O1928138392025701,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
884,O1928138392025700,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
885,O1928138392025699,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
886,O1928138392025698,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
887,O1928138392025696,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
888,O1928138392025695,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
889,O1928138392025694,first4000_missing_core:field_names,success,field_names,success,,upsert,6.92,
890,O1928138392025693,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
891,O5485687442025018,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
892,O1928138392025688,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
893,O1928138392025690,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
894,O1928138392025691,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
895,O1928138392025692,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
896,O1928138392025689,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
897,O1928138382025985,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
898,O1928138382025984,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
899,O1928138412025083,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
900,O1928138392025687,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
901,O1928138392025686,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
902,O1928138392025685,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
903,O1928138392025684,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
904,O1928138392025683,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
905,O1928138392025682,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
906,O1928138392025678,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
907,O1928138392025679,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
908,O1928138392025680,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
909,O1928138392025681,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
910,O1928138392025677,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
911,O1928138392025676,first4000_missing_core:field_names,success,field_names,success,,upsert,6.91,
912,O1928138392025675,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
913,O1928138392025674,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
914,O1928138392025673,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
915,O1928138392025672,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
916,O1928138392025671,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
917,O1928138392025670,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
918,O1928138392025669,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
919,O1928138392025667,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
920,O1928138392025668,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
921,O1928138392025664,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
922,O1928138392025665,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
923,O1928138392025666,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
924,O1928138392025663,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
925,O1928138392025661,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
926,O1928138392025660,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
927,O1928138392025662,first4000_missing_core:field_names,success,field_names,success,,upsert,6.9,
928,O1928138392025655,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
929,O1928138392025656,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
930,O1928138392025657,first4000_missing_core:field_names,success,field_names,success,,upsert,6.98,
931,O1928138392025658,first4000_missing_core:field_names,success,field_names,success,,upsert,7.05,
932,O1928138392025659,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
933,O6344680942025001,first4000_missing_core:field_names,success,field_names,success,,upsert,6.95,
934,O6344680942025013,first4000_missing_core:field_names,success,field_names,success,,upsert,6.94,
935,O6344680942025002,first4000_missing_core:field_names,success,field_names,success,,upsert,6.96,
936,O6344680942025003,first4000_missing_core:field_names,success,field_names,success,,upsert,6.93,
937,O6344680942025006,first4000_missing_core:field_names,success,field_names,success,,upsert,6.94,
938,O6344680942025007,first4000_missing_core:field_names,success,field_names,success,,upsert,6.96,
939,O6344680942025008,first4000_missing_core:field_names,success,field_names,success,,upsert,6.94,
940,O6344680942025010,first4000_missing_core:field_names,success,field_names,success,,upsert,6.93,
941,O1928138392025652,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
942,O1928138392025653,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
943,O1928138392025654,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
944,O1928138392025647,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
945,O1928138392025649,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
946,O1928138392025651,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
947,O1928138392025650,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
948,O1928138392025648,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
949,O1928138392025585,first4000_missing_core:record_count,success,record_count,success,,upsert,6.4,
950,O1928138392025586,"first4000_missing_core:record_count,field_names",success,"record_count,field_names",success,,upsert,6.41,
951,O1928138392025606,"first4000_missing_core:record_count,field_names",success,"record_count,field_names",success,,upsert,6.4,
952,O1928138392025607,"first4000_missing_core:record_count,field_names",success,"record_count,field_names",success,,upsert,6.42,
953,O1928138392025642,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
954,O1928138392025643,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
955,O1928138392025644,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
956,O1928138392025646,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
957,O1928138392025645,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
958,O1928138392025641,first4000_missing_core:field_names,success,field_names,success,,upsert,6.91,
959,O1928138392025636,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
960,O1928138392025637,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
961,O1928138392025638,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
962,O1928138392025639,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
963,O1928138392025640,first4000_missing_core:field_names,success,field_names,success,,upsert,6.89,
964,O1928138392025633,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
965,O1928138392025634,"first4000_missing_core:record_count,field_names",success,"record_count,field_names",success,,upsert,6.88,
966,O1928138392025635,first4000_missing_core:field_names,success,field_names,success,,upsert,6.88,
967,O1928138392025627,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
968,O1928138392025628,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
969,O1928138392025629,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
970,O1928138392025630,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
971,O1928138392025631,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
972,O1928138392025632,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
973,O1928138392025623,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
974,O1928138392025624,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
975,O1928138392025625,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
976,O1928138392025626,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
977,O1928138392025618,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
978,O1928138392025619,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
979,O1928138392025620,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
980,O1928138392025621,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
981,O1928138392025622,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
982,O1928138392025613,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
983,O1928138392025614,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
984,O1928138392025615,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
985,O1928138392025616,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
986,O1928138392025617,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
987,O1928138392025608,first4000_missing_core:field_names,success,field_names,success,,upsert,6.92,
988,O1928138392025609,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
989,O1928138392025610,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
990,O1928138392025611,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
991,O1928138392025612,first4000_missing_core:field_names,success,field_names,success,,upsert,6.9,
992,O1928138402025207,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
993,O1928138402025208,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
994,O1928138402025209,first4000_missing_core:field_names,success,field_names,success,,upsert,6.85,
995,O1928138402025210,first4000_missing_core:field_names,success,field_names,success,,upsert,6.87,
996,O1928138402025211,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
997,O1928138402025212,first4000_missing_core:field_names,success,field_names,success,,upsert,6.86,
