metric,ActualUse_type_percentile,ActualUse_global_percentile,ActualUse_equal_type_percentile,ActualUse_depth_type_percentile,ActualUse_percentile,ActualUse_v0
ActualUse_type_percentile,1.0,0.9917728387571685,0.9997819059043113,0.9996974890315272,0.9332117804211006,0.9332117644125112
ActualUse_global_percentile,0.9917728387571685,1.0,0.9915534102672188,0.991476672975035,0.9350932699391994,0.9350932595350965
ActualUse_equal_type_percentile,0.9997819059043113,0.9915534102672188,1.0,0.9990801572093625,0.9342966565151429,0.9342966400988328
ActualUse_depth_type_percentile,0.9996974890315272,0.991476672975035,0.9990801572093625,1.0,0.9316844775486878,0.9316844618303373
ActualUse_percentile,0.9332117804211006,0.9350932699391994,0.9342966565151429,0.9316844775486878,1.0,0.9999999999965447
ActualUse_v0,0.9332117644125112,0.9350932595350965,0.9342966400988328,0.9316844618303373,0.9999999999965447,1.0
