quantile,DormantScore_model
0.0,-0.7562893490821928
0.01,-0.2822300924533099
0.05,-0.14733393671114317
0.1,-0.09360891448928219
0.2,-0.0453909748265665
0.25,-0.030921294586155397
0.5,0.0077421296135216505
0.75,0.0443441271495899
0.8,0.05454009681904834
0.9,0.08551218190154168
0.95,0.11286100513151805
0.99,0.18527449110247676
1.0,0.3805961219885203
