数据集ID,数据资源名称,数据领域,数据资源类型,开放属性,baseline_candidate,sensitivity_selected_count,sensitivity_selected_share,PotentialUse_CRITIC_percentile,ActualUse_type_percentile,DormantScore_rule,robustness_rank
O2813839472026036,金山区生态环境局执法大队2026年3月份“双随机、一公开”执法检查情况公开,社会发展,数据产品,有条件开放,1,54,1.0,0.9236817276444071,0.0999567286888792,0.823724998955528,1.0248453716322465
O2813841502025051,徐汇区田林街道公共法律服务机构,民生服务,数据产品,无条件开放,1,54,1.0,0.964566516406332,0.1416053656425789,0.8229611507637531,1.0249502044239438
O2813838802025059,嘉定区投资建设项目消息发送表,经济建设,数据产品,有条件开放,1,54,1.0,0.8492504455393647,0.0276936391172652,0.8215568064220995,1.025055037215641
O2813841502025044,徐汇区漕河泾街道公共法律服务机构,民生服务,数据产品,无条件开放,1,54,1.0,0.9688646608659188,0.1482042405884898,0.820660420277429,1.0251598700073383
O2813841502025119,徐汇区企业动产抵押工商公示信息,经济建设,数据产品,有条件开放,1,54,1.0,0.943495125275186,0.12321505841627,0.820280066858916,1.0252647027990356
O2813839472025072,金山区博物馆地面文物巡查登记表,文化休闲,数据接口,无条件开放,1,54,1.0,0.9081664744732152,0.0890968266883645,0.8190696477848507,1.0253695355907326
O2813841502025122,徐汇区企业股权出质信息,经济建设,数据产品,有条件开放,1,54,1.0,0.928818534437572,0.1154262224145391,0.8133923120230329,1.02547436838243
O2813841502025048,徐汇区康健街道公共法律服务机构,民生服务,数据产品,无条件开放,1,54,1.0,0.9642520180312402,0.1529640848117698,0.8112879332194703,1.0255792011741272
O2813841502026092,徐汇区枫林街道_火灾探测器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9424467973582136,0.132085677196019,0.8103611201621945,1.0256840339658244
O2813841502025047,徐汇区湖南街道公共法律服务机构,民生服务,数据产品,无条件开放,1,54,1.0,0.9626795261557816,0.1529640848117698,0.8097154413440117,1.0257888667575217
O2813841502026117,徐汇区_通风空调_物联设备信息,民生服务,数据产品,有条件开放,1,45,0.8333333333333334,0.9653003459482126,0.167027260926006,0.7982730850222066,248.02589369954921
O2813841502025079,徐汇区计算机、通信和其他电子设备制造业单位,经济建设,数据产品,有条件开放,1,45,0.8333333333333334,0.9936051997064682,0.1955863262656858,0.7980188734407824,248.0259985323409
O2813841502026091,徐汇区长桥街道_输入模块_物联设备信息,公共安全,数据产品,有条件开放,1,45,0.8333333333333334,0.9402453087325716,0.1426871484205971,0.7975581603119746,248.02610336513263
O2813838802025112,嘉定区公共空间监控视频信息表,公共安全,数据产品,有条件开放,1,45,0.8333333333333334,0.8584757312087221,0.0612289052358286,0.7972468259728935,248.02620819792432
O2813841502026114,徐汇区_电磁阀_物联设备信息,公共安全,数据产品,有条件开放,1,45,0.8333333333333334,0.953768738861516,0.1568585028126352,0.7969102360488809,248.026313030716
O2813839472026038,金山区2024年“三秋”秸秆离田利用补贴汇总表,经济建设,数据产品,有条件开放,1,45,0.8333333333333334,0.8130831324038159,0.0163349199480744,0.7967482124557415,248.0264178635077
O2813842482026016,黄浦区法人基本信息(产品),经济建设,数据产品,有条件开放,1,45,0.8333333333333334,0.9896215536219728,0.1948290783210731,0.7947924753008997,248.0265226962994
O2813841502025046,徐汇区虹梅街道公共法律服务机构,民生服务,数据产品,无条件开放,1,45,0.8333333333333334,0.9596393751965616,0.1649718736477715,0.7946675015487901,248.0266275290911
