threshold_set,potential_cut,actual_cut,gap_cut,candidate_count,candidate_share,overlap_with_baseline_count,overlap_with_baseline_share,jaccard_with_baseline,is_baseline_rule
四分位阈值组_0.25_0.50_0.75,0.5,0.75,0.25,2024,0.2121593291404612,1111,1.0,0.5489130434782609,False
四分位阈值组_0.25_0.50_0.75,0.5,0.75,0.5,865,0.09067085953878407,762,0.6858685868586859,0.627677100494234,False
四分位阈值组_0.25_0.50_0.75,0.5,0.75,0.75,290,0.03039832285115304,290,0.26102610261026105,0.26102610261026105,False
四分位阈值组_0.25_0.50_0.75,0.75,0.25,0.25,487,0.051048218029350105,487,0.4383438343834383,0.4383438343834383,False
四分位阈值组_0.25_0.50_0.75,0.75,0.25,0.5,487,0.051048218029350105,487,0.4383438343834383,0.4383438343834383,False
四分位阈值组_0.25_0.50_0.75,0.75,0.25,0.75,290,0.03039832285115304,290,0.26102610261026105,0.26102610261026105,False
四分位阈值组_0.25_0.50_0.75,0.75,0.5,0.25,978,0.10251572327044026,959,0.8631863186318632,0.8486725663716814,False
四分位阈值组_0.25_0.50_0.75,0.75,0.5,0.5,693,0.07264150943396226,693,0.6237623762376238,0.6237623762376238,False
四分位阈值组_0.25_0.50_0.75,0.75,0.5,0.75,290,0.03039832285115304,290,0.26102610261026105,0.26102610261026105,False
四分位阈值组_0.25_0.50_0.75,0.75,0.75,0.25,1275,0.13364779874213836,959,0.8631863186318632,0.6720392431674842,False
四分位阈值组_0.25_0.50_0.75,0.75,0.75,0.5,693,0.07264150943396226,693,0.6237623762376238,0.6237623762376238,False
四分位阈值组_0.25_0.50_0.75,0.75,0.75,0.75,290,0.03039832285115304,290,0.26102610261026105,0.26102610261026105,False
