数据集ID,数据资源名称,数据领域,数据资源类型,开放属性,baseline_candidate,sensitivity_selected_count,sensitivity_selected_share,PotentialUse_CRITIC_percentile,ActualUse_type_percentile,DormantScore_rule,robustness_rank
AQ1002018023,孕产妇建卡管理,卫生健康,数据产品,无条件开放,0,0,0.0,0.1875458643463675,0.898745131977499,-0.7111992676311314,2673.958381381696
988,杨浦区文化资源管理文化讲座信息,文化休闲,数据接口,无条件开放,0,0,0.0,0.2311563056924206,0.9432465419039868,-0.7120902362115662,2673.958486214488
O2813838222025109,宝山区动漫、游戏数字内容服务企业名录,文化休闲,数据接口,无条件开放,0,0,0.0,0.0310305063423839,0.7432872253864931,-0.7122567190441091,2673.9585910472797
1058,地表水控制单元断面信息,资源环境,数据接口,有条件开放,0,0,0.0,0.2146975573959534,0.9271765663140764,-0.712479008918123,2673.9586958800714
AQ2002018082,浦东新区建设项目环境卫生设施配套审批信息,资源环境,数据产品,无条件开放,0,0,0.0,0.0340706573016039,0.7481609692773691,-0.7140903119757652,2673.958800712863
10171,上海法律援助机构信息,机构团体,数据接口,无条件开放,0,0,0.0,0.1468707411678373,0.8610659072416599,-0.7141951660738226,2673.9589055456545
11205,闵行区为老服务模块表,民生服务,数据接口,有条件开放,0,0,0.0,0.1504350560855435,0.8667615947925142,-0.7163265387069707,2673.9590103784462
760,长宁区学生日常基本信息,教育科技,数据接口,有条件开放,0,0,0.0,0.1793689065939826,0.8962571196094385,-0.7168882130154559,2673.959115211238
AB1002015007,上海市2015年市本级一般公共预算支出预算数据,经济建设,数据产品,无条件开放,0,0,0.0,0.2512842016982912,0.9688446559930766,-0.7175604542947853,2673.9592200440297
8593,虹口区保险信息,机构团体,数据接口,有条件开放,0,0,0.0,0.195093825348569,0.9129373474369404,-0.7178435220883714,2673.9593248768215
7683,沪惠保医保金额查询接口（医保中心）,卫生健康,数据接口,有条件开放,0,0,0.0,0.1758045916762763,0.8942229454841334,-0.7184183538078571,2673.9594297096132
AC5002015015,第六次人口普查出境人口,社会发展,数据产品,无条件开放,0,0,0.0,0.1718733619876297,0.8903072263089572,-0.7184338643213275,2673.959534542405
10139,上海公共法律服务中心信息,机构团体,数据接口,有条件开放,0,0,0.0,0.0908900304015095,0.8096013018714402,-0.7187112714699306,2673.9596393751967
AC5002015060,主要年份上海市生产总值按非公有制经济分,经济建设,数据产品,无条件开放,0,0,0.0,0.1724499423419645,0.891605365642579,-0.7191554233006144,2673.9597442079885
243,闵行区宠物医院,卫生健康,数据产品,无条件开放,0,0,0.0,0.0549323828493552,0.7741237559498053,-0.7191913731004501,2673.9598490407798
AQ1002018016,静安区家庭病床管理,卫生健康,数据产品,无条件开放,0,0,0.0,0.1981339763077891,0.9177845088706188,-0.7196505325628297,2673.9599538735715
10137,上海司法局基层法律服务工作者信息,机构团体,数据接口,有条件开放,0,0,0.0,0.105776286822518,0.8256712774613507,-0.7198949906388328,2673.9600587063633
1180,园艺种植问答信息,城市建设,数据接口,无条件开放,0,0,0.0,0.2014886256421008,0.9214808787632222,-0.7199922531211214,2673.960163539155
AC5002012023,主要年份上海市生产总值（按所有制分）,经济建设,数据产品,无条件开放,0,0,0.0,0.2280113219415033,0.9482907832107312,-0.7202794612692279,2673.9602683719468
AH1002016008,港口经营许可证,道路交通,数据产品,有条件开放,0,0,0.0,0.1617569975888458,0.882085677196019,-0.7203286796071733,2673.9603732047385
AC5002017018,建筑业签订合同情况,经济建设,数据产品,无条件开放,0,0,0.0,0.2281161547332005,0.9485071397663348,-0.7203909850331344,2673.9604780375303
AB6002015022,上海市技术进出口交易会亮点企业情况,经济建设,数据产品,无条件开放,0,0,0.0,0.2329384631512737,0.9534833405452184,-0.7205448773939447,2673.960582870322
1447,地表水劣V类断面名单,资源环境,数据接口,有条件开放,0,0,0.0,0.161861830380543,0.8826281529698943,-0.7207663225893512,2673.9606877031133
10168,上海司法局公证员信息,机构团体,数据接口,有条件开放,0,0,0.0,0.0838662333577943,0.8048209926769732,-0.7209547593191789,2673.960792535905
AC5002018001,职工平均工资,经济建设,数据产品,无条件开放,0,0,0.0,0.201593458433798,0.9227607096495024,-0.7211672512157044,2673.960897368697
AG8002015011,市经济信息化委行政权力清单,经济建设,数据产品,无条件开放,0,0,0.0,0.1465562427927455,0.8686715707485937,-0.7221153279558482,2673.9610022014886
AB6002018031,基于数字证书的外资企业信息管理系统成文信息,经济建设,数据产品,无条件开放,0,0,0.0,0.0603836880176119,0.7827780181739507,-0.7223943301563387,2673.9611070342803
AB9002015057,污水处理设施信息,资源环境,数据接口,无条件开放,0,0,0.0,0.2594611594506761,0.9820992676973148,-0.7226381082466387,2673.961211867072
AB6002018035,基于数字证书的外资企业信息管理系统发送信息,经济建设,数据产品,无条件开放,0,0,0.0,0.0605933536010063,0.7838598009519688,-0.7232664473509626,2673.961316699864
O6266781772025001,支持企业上市和并购相关政策信息,经济建设,数据接口,无条件开放,0,0,0.0,0.036691477094035,0.7601708706265257,-0.7234793935324907,2673.9614215326555
AB6002018013,基于数字证书的外资企业信息管理系统证书下发信息,经济建设,数据产品,无条件开放,0,0,0.0,0.0648914980605933,0.7886196451752489,-0.7237281471146555,2673.9615263654473
1349,行政事业性收费项目,经济建设,数据接口,有条件开放,0,0,0.0,0.1078729426564629,0.8319772172497966,-0.7241042745933337,2673.9616311982386
AC5002017013,土地使用权出让情况,经济建设,数据产品,无条件开放,0,0,0.0,0.2167942132298983,0.9411510168758114,-0.724356803645913,2673.9617360310303
2273,近年来上海市城镇常住居民收支情况,经济建设,数据接口,无条件开放,0,0,0.0,0.2186812034804486,0.9434499593165177,-0.724768755836069,2673.961840863822
758,长宁区学校班级统计信息,教育科技,数据接口,有条件开放,0,0,0.0,0.1564105252122864,0.8812042310821806,-0.7247937058698942,2673.961945696614
1108,城市设施-化粪池,城市建设,数据接口,有条件开放,0,0,0.0,0.1119614215326554,0.8376729048006509,-0.7257114832679955,2673.9620505294056
AB6002018028,基于数字证书的外资企业信息管理系统批准证书信息,经济建设,数据产品,无条件开放,0,0,0.0,0.0741167837299507,0.8003028991778451,-0.7261861154478945,2673.9621553621973
AA7002015014,持有《上海公共安全防范工程设计施工单位核准证书》名单,公共安全,数据产品,无条件开放,0,0,0.0,0.2409057553202641,0.9675465166594548,-0.7266407613391908,2673.962260194989
2069,近年来上海市全市居民收支情况,经济建设,数据产品,无条件开放,0,0,0.0,0.1609183352552678,0.8877109476417135,-0.7267926123864458,2673.962365027781
