数据集ID,数据资源名称,数据资源类型,数据领域,download_conversion,api_conversion,overall_conversion
O2813841502026181,徐汇区2026新增电子警察清单,数据产品,城市建设,0.3225806451612903,0.0,0.3225806451612903
O2813839472026036,金山区生态环境局执法大队2026年3月份“双随机、一公开”执法检查情况公开,数据产品,社会发展,0.0,0.0,0.0
O2813839472026037,特种设备使用登记停用、注销处理公告,数据产品,机构团体,0.0,0.0,0.0
O2813839472026038,金山区2024年“三秋”秸秆离田利用补贴汇总表,数据产品,经济建设,0.0,0.0,0.0
O2813839472026039,金山区2024年“三秋”秸秆还田补贴汇总表,数据产品,经济建设,0.0,0.0,0.0
O2813839472026040,金山区2024年“三夏”秸秆综合利用补贴汇总表,数据产品,经济建设,0.0,0.0,0.0
O2813839472026041,2026年金山区农业农村委员会涉企行政检查年度计划表,数据产品,民生服务,0.2222222222222222,0.0,0.2222222222222222
O2813839472026042,金山区2026年3月老年综合津贴,数据产品,民生服务,0.6,0.0,0.6
O2813839472026043,2025年金山区农机社会化服务组织奖补名单,数据产品,机构团体,0.0,0.0,0.0
O2813841502026180,徐汇区智慧健康驿站地址分布管理数据汇总,数据产品,民生服务,0.0,0.0,0.0
O2813841502026178,徐汇区接种门诊信息,数据产品,卫生健康,0.25,0.0,0.25
O2813841502026177,徐汇区职业健康检查机构,数据产品,卫生健康,0.3333333333333333,0.0,0.3333333333333333
O7417764792026002,上海市学校校区基本信息（数字基座）,数据接口,教育科技,0.0,0.0,0.0
O2813838802026002,嘉定区监管计划抽查信息,数据接口,经济建设,0.0,0.0,0.0
O2813838802026001,嘉定区抽查事项清单,数据接口,民生服务,0.0,0.006944444444444444,0.006944444444444444
O8568744852026007,第二类医疗器械产品注册信息,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026110,崇明区公共信用平台_行为清单,数据接口,信用服务,0.0,0.0,0.0
O2813839472026034,金山区2025四季度出厂水常规43项水质指标,数据产品,绿色低碳,0.0892018779342723,0.0,0.0892018779342723
O2813839472026035,金山区2025年12月出厂水常规43项水质指标,数据产品,资源环境,0.17751479289940827,0.0,0.17751479289940827
O7417764792026001,上海市学校基本信息（数字基座）,数据接口,教育科技,0.0,0.0,0.0
O2813842482026020,黄浦区法人经营信息表(产品),数据产品,经济建设,0.0,0.0,0.0
O2813842482026019,黄浦区法人登记管理信息表(产品),数据产品,经济建设,0.0,0.0,0.0
O2813842482026018,黄浦区按法人类型统计新注册法人数量(产品),数据产品,经济建设,0.0,0.0,0.0
O2813842482026017,黄浦区街道注册企业和经营企业数量统计（产品),数据产品,经济建设,0.0,0.0,0.0
O2813842482026016,黄浦区法人基本信息(产品),数据产品,经济建设,0.0,0.0,0.0
O5115799352026001,家政员工制人员信息,数据接口,民生服务,0.0,0.0,0.0
O5115799352026002,家政员工制人员信息历史,数据接口,民生服务,0.0,0.0,0.0
O2813838352026101,崇明区长护险服务机构服务表,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026100,崇明区长护险服务档案记录,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026088,崇明区长护险服务回访表,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026089,崇明区长护险服务计划,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026090,崇明区长护险服务结算记录表,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026091,崇明区长护险服务排班信息,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026092,崇明区长护险服务确认单信息,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026093,崇明区长护险服务项目,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026094,崇明区长护险服务音频信息,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026096,崇明区长护险客户申请记录表,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026097,崇明区长护险客户信息表,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026098,崇明区长护险员工岗位信息,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026099,崇明区长护险员工信息表,数据接口,卫生健康,0.0,0.0,0.0
O4468094442026003,年度分类型规模以上服务业企业主要指标,数据产品,经济建设,0.5,0.0,0.5
O4468094442026001,近几年限额以上批发零售业主要财务指标,数据产品,经济建设,0.2828282828282828,0.0,0.2828282828282828
O4468094442026002,近几年限额以上住宿餐饮业主要财务指标,数据产品,经济建设,0.1702127659574468,0.0,0.1702127659574468
O2813838352026079,崇明区医保康复类项目门诊表,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026080,崇明区医保康复类项目设备仪器项目关联表,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026081,崇明区医保康复类项目项目排序表,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026082,崇明区医保康复类项目仪器设备表,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026083,崇明区医保康复类项目疑似异常工单,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026084,崇明区医保康复类项目疑似异常工单详情,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026085,崇明区医保康复类项目住院表,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026086,崇明区长护险服务工单,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026087,崇明区长护险服务工单详情,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026072,崇明区学生课堂学习数据,数据接口,教育科技,0.0,0.0,0.0
O2813838352026073,崇明区学生课后作业应用数据,数据接口,教育科技,0.0,0.0,0.0
O2813838352026074,崇明区医保康复类项目护理项目表,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026075,崇明区医保康复类项目记录导入表,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026076,崇明区医保康复类项目康复师表,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026077,崇明区医保康复类项目康复师工单表,数据接口,卫生健康,0.0,0.0,0.0
O2813838352026078,崇明区医保康复类项目康复院项目表,数据接口,卫生健康,0.0,0.0,0.0
O2813841502026117,徐汇区_通风空调_物联设备信息,数据产品,民生服务,0.0,0.0,0.0
O2813841502026118,徐汇区_动力电源_物联设备信息,数据产品,民生服务,0.0,0.0,0.0
O2813841502026119,徐汇区_火灾显示盘传感器_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
O2813841502026121,徐汇区_井盖监控传感器_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
O2813841502026120,徐汇区_冲击震动监测传感器_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
O2813841502026122,徐汇区_楼层显示器_物联设备信息,数据产品,城市建设,0.0,0.0,0.0
O2813841502026123,徐汇区_气体检测传感器_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
O2813841502026124,徐汇区_控制模块(应急照明强启)_物联设备信息,数据产品,民生服务,0.0,0.0,0.0
O2813841502026125,徐汇区_人体活动探测传感器_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
O2813841502026126,徐汇区_探测回路控制器_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
O2813841502026127,徐汇区_门体状态探测传感器(nb版)_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
O2813841502026128,徐汇区_电气火灾监控报警器_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
O2813841502026129,徐汇区_警报装置_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
O2813841502026130,徐汇区_感声火灾探测器_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
O2813841502026131,徐汇区_水压监测传感器_物联设备信息,数据产品,民生服务,0.0,0.0,0.0
O2813841502026132,徐汇区_消防水箱_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
O2813841502026133,徐汇区_半球摄像机_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
O2813841502026134,徐汇区_新风机_物联设备信息,数据产品,城市建设,0.0,0.0,0.0
O2813841502026135,徐汇区_垃圾车GPS_物联设备信息,数据产品,城市建设,0.0,0.0,0.0
O2813841502026136,徐汇区_常闭送风口_物联设备信息,数据产品,城市建设,0.0,0.0,0.0
O2813841502026137,徐汇区_管网监测传感器_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
O2813841502026138,徐汇区_垃圾满溢探测传感器_物联设备信息,数据产品,民生服务,0.0,0.0,0.0
O2813841502026139,徐汇区_门体状态探测传感器_物联设备信息,数据产品,民生服务,0.0,0.0,0.0
O2813841502026140,徐汇区_全景鹰眼_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
O2813841502026141,徐汇区_挡烟垂壁传感器_物联设备信息,数据产品,公共安全,0.0,0.0,0.0
