field_count_bin,count,share
<=2,729,0.07641509433962264
3-5,2980,0.31236897274633124
6-10,2284,0.23941299790356393
11-20,2151,0.22547169811320755
21-50,1219,0.12777777777777777
>50,177,0.018553459119496855
