metric,count,zero_count,mean,median,p90,p95,p99,max,gini,top1_share,top5_share
浏览量,9540,120,877.401572327044,72.0,1287.1000000000004,3646.3999999999796,8209.930000000066,249558.0,0.8355774986507474,0.37597269715907616,0.6186453687877453
下载量,9540,4055,419.0583857442348,2.0,516.4000000000015,1499.5999999999913,5138.490000000063,179260.0,0.9415595196036308,0.5656406984111579,0.8080157245816905
接口调用量,9540,8085,18741.33081761006,0.0,14.0,165.0,3861.860000000015,146979199.0,0.9996452713845911,0.9983670772928606,0.9997306483496359
ActualUse_type_percentile,9540,0,0.5,0.5001081782778019,0.9000511492247605,0.9500286905692835,0.9900417282963039,1.0,0.3333902381363758,0.02002660370781061,0.09750995898821435
