,RDF,XML,CSV,JSON,XLSX
RDF,5349,5183,5338,5180,4832
XML,5183,9053,5246,9047,4717
CSV,5338,5246,5558,5246,4867
JSON,5180,9047,5246,9093,4713
XLSX,4832,4717,4867,4713,5006
