更新频率,count,share
每年,4657,0.48815513626834384
不定期更新,1693,0.17746331236897275
每天,1242,0.13018867924528302
每月,908,0.09517819706498952
静态数据,779,0.08165618448637317
每季度,108,0.011320754716981131
即时,66,0.006918238993710692
每半年,62,0.00649895178197065
每周,25,0.002620545073375262
