feature,spearman_with_actualuse,spearman_with_potentialuse
DormantScore_rule,-0.6423071486920413,0.6420781439274473
spatiotemporal_capability_score,0.4768328284781787,0.4510368662988747
semantic_clarity_score,-0.4120586063741446,0.3187929350251232
combinability_score,0.2077325575548478,0.5449723329068629
field_count_clean,-0.15524292537769807,0.18216753232276828
topic_public_value_score,-0.1491560608295666,0.2988988244343721
PotentialUse_CRITIC_percentile,0.12671689646364417,1.0
record_count_log_winsor_p99,0.1260859067118899,0.058772603344790696
data_size_log_winsor_p99,0.12500237247590978,0.1616355330312868
update_recency_days_clean,0.11554463728712354,-0.06778259450362155
machine_readability_score,0.10293034594390028,0.609173968120294
format_count_clean,0.09939195908280513,0.6094529502249597
timeliness_score,-0.03982894800065084,0.09659094781598296
data_richness_score,-0.02615950321499385,0.11576216872761191
