数据集ID,数据资源名称,数据领域,数据资源提供部门,数据资源类型,开放属性,更新频率,ActualUse_type_percentile,PotentialUse_CRITIC_percentile,DormantScore_rule,ExpectedUse_model_percentile,DormantScore_model,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,detail_url
O1928138382025905,青浦区四区社区卫生服务中心重点人群健康管理,卫生健康,上海市青浦区人民政府,数据接口,有条件开放,每天,0.3909682668836452,0.8280742216165217,0.4371059547328764,0.5018345738547018,0.1108663069710565,0.8374999999999999,0.8729166666666666,0.3743905551320985,0.42,0.9652987421383648,0.7749999999999999,0.645559712773185,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025905&&companyFlag=0
O1928138422025073,松江区公办幼儿园收费单位名单及信息,教育科技,上海市松江区人民政府,数据接口,有条件开放,每天,0.3335028478437754,0.7703113533913408,0.4368085055475654,0.4224761505398888,0.0889733026961134,0.6833333333333335,0.612190594059406,0.6466884253778007,0.42,0.7242610062893081,0.975,0.8019170626737462,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138422025073&&companyFlag=0
O9351158002025067,装修垃圾清运服务企业信息,资源环境,上海市绿化和市容管理局,数据接口,有条件开放,每月,0.3106183889340927,0.7472481392179474,0.4366297502838546,0.2393332634448055,-0.0712851254892871,0.7625,0.6682755775577558,0.4585163852259856,0.42,0.8088836477987422,0.985,0.6635460892076621,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O9351158002025067&&companyFlag=0
O1928138422025227,松江区统计月报金融机构存贷款余额,经济建设,上海市松江区人民政府,数据产品,无条件开放,每年,0.3539593249675465,0.789810252647028,0.4358509276794814,0.4896739700178216,0.135714645050275,0.6000000000000001,0.5691006600660066,0.6746365428424181,1.0,0.4124685534591195,0.475,0.7127174608824353,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138422025227&&companyFlag=0
O1928138402025016,闵行区新虹街道物业案件信息,民生服务,上海市闵行区人民政府,数据接口,无条件开放,不定期更新,0.4297192839707079,0.8652898626690428,0.4355705786983349,0.4346367543767691,0.0049174704060611,0.8374999999999999,0.6925536303630362,0.8916857693169884,0.42,0.5752987421383647,0.975,0.8025330228105833,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138402025016&&companyFlag=0
O2813839472026001,金山区社区学校,教育科技,上海市金山区人民政府,数据产品,无条件开放,不定期更新,0.4370402423193423,0.8714749973791802,0.4344347550598379,0.3103050634238389,-0.1267351788955033,0.6833333333333335,0.535746699669967,0.2933602606780477,1.0,0.4226745283018868,0.975,0.7707344361146202,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813839472026001&&companyFlag=0
O1928138382025910,青浦区村居委会基本情况,民生服务,上海市青浦区人民政府,数据接口,有条件开放,每天,0.3764239218877135,0.8103574798196876,0.4339335579319741,0.4914561274766747,0.1150322055889612,0.8374999999999999,0.7687499999999999,0.4665479878786906,0.42,0.9652987421383648,0.7749999999999999,0.6426680765959939,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025910&&companyFlag=0
O1928138422025086,松江区生态环境局执法大队双随机一公开执法检查情况,资源环境,上海市松江区人民政府,数据接口,有条件开放,每天,0.3220097640358014,0.7556347625537269,0.4336249985179254,0.3964776181989726,0.0744678541631712,0.7625,0.7586221122112211,0.6919955739017226,0.42,0.7242610062893081,0.7749999999999999,0.673634595396312,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138422025086&&companyFlag=0
11133,崇明区关于中华人民共和国道路运输证的信息,道路交通,上海市崇明区人民政府,数据产品,有条件开放,每月,0.4922111639982691,0.925778383478352,0.4335672194800829,0.5388405493238285,0.0466293853255594,0.7625,0.8347772277227723,0.4071622225587685,1.0,0.7725628930817611,0.575,0.3717261344435873,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=11133&&companyFlag=0
14295,浦东新区民政公开信息-经营性公墓（骨灰堂）年度验审情况,民生服务,上海市浦东新区人民政府,数据产品,无条件开放,每年,0.3932280398096062,0.8267113953244575,0.4334833555148512,0.4193311667889716,0.0261031269793654,0.7124999999999999,0.6351485148514852,0.1653212406672757,1.0,0.4003616352201258,0.975,0.5717261344435873,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=14295&&companyFlag=0
11164,崇明区关于中华人民共和国道路运输证待理证的信息,道路交通,上海市崇明区人民政府,数据产品,有条件开放,每月,0.4950237992211164,0.9281895376873888,0.4331657384662722,0.5415662019079568,0.0465424026868404,0.7625,0.8764232673267326,0.3723656200236332,1.0,0.7725628930817611,0.575,0.3717261344435873,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=11164&&companyFlag=0
O5915184212025042,浦东新区民政公开信息-各街镇基本殡仪服务补贴发放统计,民生服务,上海市浦东新区人民政府,数据产品,无条件开放,每年,0.3438987451319775,0.7761819897263864,0.4322832445944089,0.4036062480343851,0.0597075029024076,0.7541666666666665,0.6705445544554456,0.2651184387881854,1.0,0.4003616352201258,0.7749999999999999,0.4717261344435873,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O5915184212025042&&companyFlag=0
O1928138422025252,黄浦区街道经营企业数量统计表,经济建设,上海市黄浦区人民政府,数据产品,无条件开放,每年,0.414106447425357,0.845476465038264,0.431370017612907,0.3437467239752594,-0.0703597234500975,0.7250000000000001,0.7237623762376237,0.2671771072466305,1.0,0.4278773584905661,0.675,0.765717297572786,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138422025252&&companyFlag=0
O1928138402025064,闵行区莘庄商务区智慧城管用户坐标信息,城市建设,上海市闵行区人民政府,数据接口,有条件开放,不定期更新,0.3438771358828316,0.7752384946011113,0.4313613587182797,0.3746723975259461,0.0307952616431145,0.7208333333333333,0.7092409240924092,0.7665212572497859,0.42,0.552185534591195,0.975,0.7482446209083267,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138402025064&&companyFlag=0
O5915184212025039,浦东新区民政公开信息-落葬预约统计,民生服务,上海市浦东新区人民政府,数据产品,无条件开放,每年,0.3605581999134574,0.7918020756892756,0.4312438757758182,0.3943809623650278,0.0338227624515704,0.7124999999999999,0.5102103960396039,0.3456397602674672,1.0,0.4003616352201258,0.7749999999999999,0.7448392849611177,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O5915184212025039&&companyFlag=0
