layer_col,layer_name,role,count,share,avg_actual,avg_potential,avg_dormant_rule,avg_expected,avg_dormant_model
rule_dormant_candidate,规则沉睡候选,主识别池 / 第9章聚类主样本,1111,0.11645702306079665,0.23736572286366034,0.8617430985157432,0.6243773756520827,0.24893924029157294,0.011573517427912577
rule_candidate_model_enhanced_top20,模型增强高置信Top20,高优先级分析池 / 典型案例优先池,223,0.023375262054507337,0.2940869332271868,0.8366235003152035,0.5425365670880167,0.4109273847227126,0.1168404514955257
strict_model_residual_candidate,严格模型残差候选,极端模型残差案例,1,0.00010482180293501048,0.3489831241886629,0.943914456441975,0.5949313322533121,0.7070971799979033,0.3581140558092404
residual_top10_lowuse_candidate,低使用且模型残差Top10%,模型残差扩展观察池,587,0.061530398322851156,0.2427945815606669,0.46476412711163506,0.22196954555096823,0.37439165280950987,0.13159707124884296
multi_model_strict_residual_any,任一模型严格残差,多模型极端验证案例,5,0.0005241090146750524,0.38080772116516365,0.6462102945801446,0.265402573414981,0.6727539574378866,0.29194623627272287
multi_model_strict_residual_2plus,至少两个模型严格残差,多模型一致极端案例,4,0.0004192872117400419,0.4354698418502235,0.6305430338609916,0.1950731920107682,0.7320473844218471,0.2965775425716236
multi_model_strict_residual_3plus,至少三个模型严格残差,强一致极端案例,4,0.0004192872117400419,0.4354698418502235,0.6305430338609916,0.1950731920107682,0.7320473844218471,0.2965775425716236
