数据集ID,数据资源名称,数据领域,数据资源提供部门,数据资源类型,开放属性,更新频率,ActualUse_type_percentile,PotentialUse_CRITIC_percentile,DormantScore_rule,ExpectedUse_model_percentile,DormantScore_model,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,detail_url
O2813839692025075,虹口区重量统计日车辆表,民生服务,上海市虹口区人民政府,数据接口,有条件开放,每年,0.1834825061025223,0.2566306740748506,0.0731481679723282,0.2739280847048957,0.0904455786023734,0.7958333333333333,0.5774133663366336,0.6172621779922739,0.42,0.6270911949685535,0.475,0.6058127616878654,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813839692025075&&companyFlag=0
O5915184132025218,上海市民防工程行政处罚公告,城市建设,上海市大数据中心,数据产品,无条件开放,不定期更新,0.2347468628299437,0.3052730894223713,0.0705262265924275,0.3421742320998008,0.1074273692698571,0.6791666666666666,0.5420585808580859,0.1814507876711814,1.0,0.3397641509433962,0.485,0.3926041470552556,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O5915184132025218&&companyFlag=0
O1928138382025838,青浦区上海市百强,经济建设,上海市青浦区人民政府,数据接口,有条件开放,每天,0.3220097640358014,0.3907118146556242,0.0687020506198228,0.5160918335255268,0.1940820694897254,0.6833333333333335,0.2892326732673267,0.4689518421458128,0.42,0.9652987421383648,0.7749999999999999,0.67229256963487,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025838&&companyFlag=0
O5485687462025028,重点扶持村名单信息,民生服务,上海市农业农村委员会,数据接口,有条件开放,每年,0.0723148901545972,0.1403711080826082,0.068056217928011,0.206310934060174,0.1339960439055768,0.7958333333333333,0.5357879537953796,0.3895446074579756,0.42,0.6138836477987422,0.485,0.5589515511021005,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O5485687462025028&&companyFlag=0
O1928138382025773,青浦区灯塔奖企业名单公示,经济建设,上海市青浦区人民政府,数据接口,有条件开放,每天,0.2903783563873067,0.3574798196875983,0.0671014633002915,0.4675542509697033,0.1771758945823966,0.6416666666666667,0.3370874587458746,0.3819916837865257,0.42,0.9652987421383648,0.7749999999999999,0.6612551633673841,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025773&&companyFlag=0
O1928138382025800,青浦区青少年社工站信息,民生服务,上海市青浦区人民政府,数据接口,有条件开放,每天,0.3335028478437754,0.3997274347415872,0.0662245868978117,0.4785616940979138,0.1450588462541384,0.7541666666666665,0.3301361386138614,0.3953621259875102,0.42,0.9652987421383648,0.7749999999999999,0.6647528244061891,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025800&&companyFlag=0
O5915184122025003,宗教团体协会信息,民生服务,上海市大数据中心,数据产品,无条件开放,不定期更新,0.1916919082648204,0.2574693364084285,0.0657774281436081,0.3472062061012684,0.155514297836448,0.7124999999999999,0.4753712871287129,0.2138395727722909,1.0,0.3008349056603773,0.485,0.3926041470552556,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O5915184122025003&&companyFlag=0
O2813840292025018,闵行区财务凭证信息,经济建设,上海市闵行区人民政府,数据接口,无条件开放,不定期更新,0.3438771358828316,0.4093720515777335,0.0654949156949019,0.5474368382430024,0.2035597023601708,0.6833333333333335,0.5669760726072608,0.9939507522182016,0.42,0.5752987421383647,0.475,0.6426041470552556,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O2813840292025018&&companyFlag=0
O1928138402025045,闵行区教育云录播课程评课结果管理信息,教育科技,上海市闵行区人民政府,数据接口,无条件开放,不定期更新,0.2798006509357201,0.3442708879337456,0.0644702369980255,0.3809623650277807,0.1011617140920606,0.7250000000000001,0.7169141914191418,0.3346003143339658,0.42,0.5752987421383647,0.7749999999999999,0.636117144404317,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138402025045&&companyFlag=0
O5485687462025076,一网通办“两页”-都市现代农业发展专项资金项目信息,民生服务,上海市农业农村委员会,数据接口,无条件开放,每年,0.2157241659886086,0.2773875668309047,0.061663400842296,0.3151273718419121,0.0994032058533035,0.7958333333333333,0.7960189768976899,0.3632593485246431,0.42,0.6006761006289308,0.485,0.653099458001866,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O5485687462025076&&companyFlag=0
5593,世博会博物馆信息,文化休闲,上海市文化和旅游局,数据接口,无条件开放,每天,0.1998576078112286,0.2578886675752175,0.0580310597639888,0.3607296362302128,0.1608720284189842,0.4916666666666666,0.4691831683168317,0.4510978818224452,0.42,0.9190723270440252,0.585,0.5965881154805203,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=5593&&companyFlag=0
