model,fold,n,r2,mae,rmse,spearman_corr,spearman_p,pearson_corr,pearson_p,rank_spearman,rank_rmse,rank_mae,model_selection_score
CatBoostRegressor,OOF,9540,0.9125209550621062,0.06003366188523971,0.08539674631963946,0.9544538943764687,0.0,0.955293830095358,0.0,5.0,5.0,5.0,15.0
Ridge,OOF,9540,0.8549460976765441,0.08089986466744498,0.10996488289244431,0.9251131752167467,0.0,0.9246425119563475,0.0,6.0,6.0,6.0,18.0
RandomForest,OOF,9540,0.9170479890069383,0.05728734693949708,0.08315775708345216,0.9574097746061401,0.0,0.9580990156221967,0.0,3.0,4.0,4.0,11.0
HistGradientBoosting,OOF,9540,0.9180715890977673,0.05602342960576562,0.08264309500117886,0.9573769942371679,0.0,0.9581650033683528,0.0,4.0,3.0,2.0,9.0
LightGBM,OOF,9540,0.9183808831380843,0.05593938941516084,0.08248695144582337,0.9574639936111913,0.0,0.9583244048580395,0.0,2.0,2.0,1.0,5.0
XGBoost,OOF,9540,0.9185725515122933,0.05651635371590218,0.08239004135144697,0.9576538899240767,0.0,0.9584399295434074,0.0,1.0,1.0,3.0,5.0
