feature,full_model_importance,fold_1_importance,fold_2_importance,fold_3_importance,fold_4_importance,fold_5_importance,oof_mean_importance,oof_std_importance
publication_age_days_clean,44.05344243476042,42.12492302809652,42.99076615182194,43.91938088353432,46.39324739349004,46.08866091904691,44.30339567519795,1.8822100636862649
maintenance_span_days_clean,10.681035271255094,10.575629814275262,11.278841599505894,10.426706215233896,9.640630731678408,8.450740573047351,10.07450978674816,1.0782458225328262
detail_spatial_scope,3.3408535978597476,4.804506562000557,4.119634219114301,4.318972847262179,5.376020034066552,5.238463336281011,4.7715193997449195,0.5509760613054311
数据资源提供部门,4.809318010618136,4.057796378168662,4.043916016340427,4.294522033135369,3.5054092253910913,3.3362026378870664,3.847569258184523,0.4065352330509207
api_need_apply_clean,6.48775315792799,3.600695408805567,3.40948034033285,2.721263311692949,4.692747883832194,3.88447695208763,3.6617327793502383,0.7184091427152107
spatial_admin_level,3.790174120881566,2.9564113396613365,3.6103940759465885,3.7071970302717565,2.5885706222808924,3.1270442996052163,3.197923473553158,0.46479953175583516
is_unconditional_open,1.7759889792709775,1.4844013015130062,3.002655839795469,5.112158294992441,1.9782343249409227,2.5410981408858473,2.823709580425537,1.4015583810801926
开放属性,1.4420820996249615,3.735054893897373,2.3081331120178903,1.847722680322265,3.0043337101995737,3.1365063852940867,2.8063501563462383,0.7378820999500448
is_conditional_open,2.7050520212438744,3.051441214329289,3.3604284675058125,1.9619474280620524,1.9558121248892082,1.6661314903138675,2.3991521450200457,0.7540807013042244
is_data_interface,0.9037579872234541,2.971111801507074,1.7760123410747237,1.3624497672544682,2.3433766984300632,1.797220051916299,2.050034132036526,0.6217332816765843
update_recency_days_clean,2.016077728676594,1.9788560479825046,2.0844464163068963,1.6516177972566606,1.6473652093865887,2.114777920022502,1.8954126781910303,0.23009843012398437
field_description_count_clean,2.042994065168357,1.5036028721268335,1.803079187154347,2.03700022892084,1.2571715475516727,2.0356436556029305,1.7272994982713246,0.34197722649647194
数据领域,1.429989791174075,1.6329006123138021,1.7671881839486516,1.6319767894831632,1.8140999605269694,1.608602717751473,1.690953652804812,0.09301454088742238
更新频率,1.3388680956173296,1.334605292445386,1.76667011859745,1.7217374154747755,1.4563797095414344,1.4982187695670943,1.5555222611252282,0.1831175428382971
recommended_dataset_count_clean,1.2831109048389924,1.7361618495457936,1.679889094057879,0.9726789754852562,1.2787967685773989,1.307373420108215,1.3949800215549086,0.315075331368033
has_meaningful_time_scope,0.8413405651568044,1.8946709610204362,0.46954662079824544,0.936610005293025,0.3902998919151486,1.803226772219143,1.0988708502491997,0.7165656724425205
description_len,1.2310588673640417,1.1167992521381356,1.1101542819935462,1.1086296788508916,0.9770015069238435,0.9941653984667994,1.0613500236746434,0.06949871312337035
