数据资源提供部门,total_count,candidate_count,avg_actual,avg_potential,avg_dormant_score,candidate_rate
上海市徐汇区人民政府,557,334,0.24601106299624656,0.8115748200291989,0.5655637570329524,0.599640933572711
上海市嘉定区人民政府,506,98,0.2239410825849485,0.4907877666347472,0.2668466840497987,0.19367588932806323
上海市普陀区人民政府,423,96,0.46680873038794246,0.5849156765172316,0.11810694612928914,0.22695035460992907
上海市闵行区人民政府,392,77,0.4732238544468089,0.5623099905650487,0.08908613611823982,0.19642857142857142
上海市浦东新区人民政府,508,77,0.5515669410555573,0.5917171363643493,0.040150195308791915,0.1515748031496063
上海市青浦区人民政府,527,72,0.6466652283226899,0.6736897343234695,0.027024506000779488,0.1366223908918406
上海市金山区人民政府,291,66,0.4476861101978162,0.5266669764817898,0.07898086628397372,0.2268041237113402
上海市宝山区人民政府,569,45,0.3521819830787313,0.3828663053957935,0.030684322317062272,0.07908611599297012
上海市大数据中心,527,44,0.2987100488929678,0.40197288550568294,0.10326283661271511,0.08349146110056926
上海市绿化和市容管理局,291,38,0.6804908759219888,0.5473201171965766,-0.13317075872541212,0.13058419243986255
上海市黄浦区人民政府,597,19,0.4236159547321292,0.3218591472229934,-0.10175680750913585,0.031825795644891124
上海市松江区人民政府,126,18,0.6169292786677969,0.6384907738823243,0.021561495214527472,0.14285714285714285
上海市药品监督管理局,25,17,0.4244655200884157,0.9061914246776392,0.48172590458922343,0.68
上海市静安区人民政府,235,15,0.5391788596194032,0.5096046911559042,-0.029574168463498984,0.06382978723404255
上海市杨浦区人民政府,145,10,0.6041445025287087,0.5918425628364138,-0.01230193969229475,0.06896551724137931
上海市崇明区人民政府,188,10,0.2644977943265133,0.3866411796588696,0.12214338533235632,0.05319148936170213
上海市奉贤区人民政府,207,10,0.29670273346598586,0.42340698469998317,0.12670425123399737,0.04830917874396135
上海市长宁区人民政府,330,9,0.346028562756903,0.38103828938297957,0.03500972662607654,0.02727272727272727
中共上海市委金融委员会办公室,15,8,0.42615269867100625,0.5478421917042318,0.12168949303322553,0.5333333333333333
上海市虹口区人民政府,671,8,0.4997698320238628,0.49102242281236536,-0.008747409211497425,0.011922503725782414
上海市总工会,14,6,0.4961859235150529,0.6203854851511839,0.12419956163613097,0.42857142857142855
上海市知识产权局,30,5,0.4213250060998817,0.3755075654331341,-0.045817440666747596,0.16666666666666666
上海市文化和旅游局,139,4,0.37048310903758686,0.37772235299086443,0.007239243953277614,0.02877697841726619
上海市生态环境局,148,4,0.7418975408424682,0.48475391210478747,-0.2571436287376807,0.02702702702702703
上海市消防救援总队,4,3,0.4101308957161402,0.8368277597232414,0.4266968640071013,0.75
国家税务总局上海市税务局,7,2,0.4954343435186814,0.5431686460096147,0.04773430249093329,0.2857142857142857
上海市卫生健康委员会,18,2,0.46173827421210983,0.42030960617814583,-0.04142866803396401,0.1111111111111111
上海市人力资源和社会保障局,39,2,0.7002100499364706,0.5143983807365713,-0.1858116691998994,0.05128205128205128
上海市水务局,61,2,0.8077944285339945,0.48469699026773605,-0.3230974382662585,0.03278688524590164
上海市民政局,80,2,0.6551830169170054,0.5219192263339972,-0.1332637905830081,0.025
