rule_dormant_rank,序号,数据集ID,数据资源名称,数据资源提供部门,数据领域,数据资源类型,开放属性,更新频率,detail_url,view_count_clean,download_count_clean,api_call_count_clean,ActualUse_main_percentile,PotentialUse_main_percentile,DormantScore_rule_v11,DormantScore_rule_rank_v11,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,format_count_clean,field_count_clean,field_description_count_clean,record_count_log_winsor_p99,data_size_log_winsor_p99,has_meaningful_time_scope,has_time_field_strict,has_geo_field_strict
414,23,O2813842482026018,黄浦区按法人类型统计新注册法人数量(产品),上海市黄浦区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482026018&&companyFlag=0,148.0,0.0,0.0,0.2097576806577239,0.8857322570500052,0.6759745763922813,414.0,0.6416666666666667,0.7466790429042904,0.4227860969030345,1.0,0.6160849056603774,0.475,0.7618215985586668,5.0,10.0,10.0,5.308267697401205,11.759793355371237,0,1,0
415,2005,O1928138392025691,上海市普陀区辐射建设项目环境影响评价受理信息,上海市普陀区人民政府,经济建设,数据产品,无条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025691&&companyFlag=0,17.0,3.0,0.0,0.225118996105582,0.9005136806793165,0.6753946845737344,415.0,0.8083333333333335,0.8466996699669966,0.2683451258217965,1.0,0.4377830188679246,0.675,0.765717297572786,5.0,6.0,6.0,2.3978952727983707,8.54110501146255,0,1,1
416,1339,O2813841502025117,徐汇区企业经营异常信息,上海市徐汇区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025117&&companyFlag=0,22.0,2.0,0.0,0.2362613587191692,0.9114162910158298,0.6751549322966606,416.0,0.7250000000000001,0.7687499999999999,0.4496826554052752,1.0,0.4167877358490566,0.7749999999999999,0.6791185478179137,5.0,9.0,9.0,6.831953565565855,13.101084581106605,1,1,0
417,4554,O1928138382025460,嘉定区设施关系表,上海市嘉定区人民政府,城市建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025460&&companyFlag=0,7.0,0.0,0.0,0.0276936391172652,0.7026942027466191,0.6750005636293539,417.0,0.7208333333333333,0.5981435643564357,0.2040593732758573,1.0,0.4377830188679246,0.7749999999999999,0.4717261344435873,5.0,7.0,0.0,2.6390573296152584,9.329455852866344,1,1,0
418,3321,O1928138412025029,徐汇区天平街道社区党建服务中心,上海市徐汇区人民政府,民生服务,数据产品,无条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138412025029&&companyFlag=0,16.0,3.0,0.0,0.2160320207702293,0.8904497326763812,0.6744177119061519,418.0,0.8791666666666665,0.7938325082508251,0.2414209739419754,1.0,0.4113679245283019,0.7749999999999999,0.6530751181314588,5.0,4.0,4.0,3.4011973816621555,9.128804883993665,1,0,1
419,1909,O2813838802025016,嘉定区救援消防站表,上海市嘉定区人民政府,民生服务,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813838802025016&&companyFlag=0,14.0,0.0,0.0,0.0612289052358286,0.7356116993395534,0.6743827941037248,419.0,0.8374999999999999,0.5989067656765676,0.4182158371293863,1.0,0.3999481132075472,0.475,0.6943529775746581,5.0,14.0,14.0,3.4657359027997265,10.022558647177142,0,0,1
420,21,O2813842482026020,黄浦区法人经营信息表(产品),上海市黄浦区人民政府,经济建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482026020&&companyFlag=0,278.0,0.0,0.0,0.2323669407183037,0.9061746514309676,0.673807710712664,420.0,0.6833333333333335,0.7195544554455446,0.5243543017754116,1.0,0.6160849056603774,0.475,0.7758998531894071,5.0,15.0,15.0,6.90975328164481,13.330068365029348,0,1,0
421,4944,O1928138382025130,嘉定区文旅活动-发现故事首页信息,上海市嘉定区人民政府,文化休闲,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025130&&companyFlag=0,12.0,0.0,0.0,0.0519255733448723,0.7251284201698291,0.6732028468249569,421.0,0.5333333333333333,0.7507838283828383,0.1517108811649274,1.0,0.4377830188679246,0.7749999999999999,0.4717261344435873,5.0,4.0,0.0,2.6390573296152584,9.011035410141815,1,1,0
422,4635,O1928138382025383,嘉定区公务用车-车辆申请与使用表,上海市嘉定区人民政府,机构团体,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025383&&companyFlag=0,18.0,0.0,0.0,0.0817827780181739,0.7544816018450571,0.6726988238268832,422.0,0.4541666666666667,0.7639026402640264,0.2662000032881749,1.0,0.4113679245283019,0.7749999999999999,0.4717261344435873,5.0,13.0,0.0,2.833213344056216,9.416459832284596,1,1,0
423,1142,O2813842482025130,黄浦区生活用水管线信息表,上海市黄浦区人民政府,城市建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813842482025130&&companyFlag=0,24.0,0.0,0.0,0.1108827347468628,0.7835202851451935,0.6726375503983306,423.0,0.6791666666666666,0.649463696369637,0.4741065000288176,1.0,0.4697012578616352,0.475,0.6599254361849097,5.0,5.0,5.0,10.606486049146447,16.347850340459765,0,1,0
424,4955,O1928138382025124,宝山区护士执业注册信息,上海市宝山区人民政府,卫生健康,数据产品,有条件开放,不定期更新,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025124&&companyFlag=0,13.0,0.0,0.0,0.0567935958459541,0.7293217318377189,0.6725281359917648,424.0,0.7541666666666665,0.6009282178217822,0.3466549773507978,1.0,0.3386635220125786,0.7749999999999999,0.4717261344435873,5.0,7.0,0.0,8.512984346642183,13.10941794571128,1,1,0
425,1603,O2813838802025130,嘉定区园区信息表,上海市嘉定区人民政府,机构团体,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813838802025130&&companyFlag=0,36.0,0.0,0.0,0.1426871484205971,0.8150749554460636,0.6723878070254665,425.0,0.4541666666666667,0.5662128712871287,0.5021250660068243,1.0,0.4465880503144654,0.675,0.799055698157356,5.0,53.0,16.0,1.6094379124341005,8.030409562130485,0,1,1
426,5253,14242,浦东新区可回收物中转站基础信息,上海市浦东新区人民政府,城市建设,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=14242&&companyFlag=0,59.0,0.0,0.0,0.1707053223712678,0.8427508124541356,0.6720454900828678,426.0,0.7208333333333333,0.6156146864686469,0.2324958449717385,1.0,0.3981603773584906,0.975,0.5717261344435873,5.0,6.0,0.0,4.948759890378168,9.639587108749144,1,1,1
427,5246,14262,浦东新区污水泵站,上海市浦东新区人民政府,资源环境,数据产品,有条件开放,每年,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=14262&&companyFlag=0,42.0,0.0,0.0,0.1552358286456079,0.8261872313659713,0.6709514027203634,427.0,0.7625,0.529579207920792,0.2742524737540138,1.0,0.3981603773584906,0.975,0.5717261344435873,5.0,9.0,0.0,5.111987788356544,9.821897815496174,1,1,1
