数据资源类型,total_count,candidate_count,avg_actual,avg_potential,avg_dormant_score,candidate_rate
数据产品,4623,811,0.5,0.550448779815921,0.05044877981592106,0.1754272117672507
数据接口,4917,300,0.5,0.4525676816983927,-0.04743231830160729,0.06101281269066504
