feature,feature_label,direction_or_rank_correlation,effect_statistic,mean_abs_shap,mean_signed_shap
publication_age_days_clean,发布年龄,总体正相关,0.836788896240552,0.12688492238521576,0.011557092890143394
maintenance_span_days_clean,维护跨度,总体正相关,0.6603143348837718,0.017429757863283157,0.006690479815006256
is_data_interface,数据接口,负向,-0.005061558447778225,0.015949472784996033,0.015949472784996033
field_description_count_clean,字段说明丰富度,非单调或弱相关,-0.013182371205703154,0.015330721624195576,0.007841586135327816
update_recency_days_clean,更新近度,总体负相关,-0.8657785033265244,0.014190166257321835,0.0029362246859818697
format_count_clean,格式数量,总体正相关,0.7246445318493593,0.005459872540086508,0.004726487677544355
is_unconditional_open,无条件开放,负向,-5.02138864248991e-05,0.003504750784486532,0.003504727268591523
api_need_apply_clean,API申请门槛,正向,0.0006861367437522858,0.00236612930893898,0.00034110451815649867
